1.png → 1.webp | Saved 310975 bytes (86.0%)
2.png → 2.webp | Saved 395303 bytes (87.4%)
3.png → 3.webp | Saved 408816 bytes (86.9%)
4.png → 4.webp | Saved 394626 bytes (87.5%)
5.png → 5.webp | Saved 379099 bytes (88.2%)
6.png → 6.webp | Saved 369186 bytes (88.5%)
7.png → 7.webp | Saved 371648 bytes (88.6%)
8.png → 8.webp | Saved 367146 bytes (88.9%)
darkened.png → darkened.webp | Saved 292552 bytes (90.2%)
starting.png → starting.webp | Saved 366991 bytes (89.0%)
cropped\1.png → 1.webp | Saved 228812 bytes (85.7%)
cropped\2.png → 2.webp | Saved 242867 bytes (84.6%)
cropped\3.png → 3.webp | Saved 253917 bytes (84.1%)
cropped\4.png → 4.webp | Saved 243175 bytes (84.9%)
cropped\5.png → 5.webp | Saved 225570 bytes (86.0%)
cropped\6.png → 6.webp | Saved 220496 bytes (86.2%)
cropped\7.png → 7.webp | Saved 223111 bytes (86.3%)
cropped\8.png → 8.webp | Saved 213684 bytes (86.7%)
cropped\darkened.png → darkened.webp | Saved 181200 bytes (88.5%)
cropped\starting.png → starting.webp | Saved 217483 bytes (86.6%)
