1-5.1.png → 1-5.1.webp | Saved 855495 bytes (76.5%)
1-5.2.png → 1-5.2.webp | Saved 852745 bytes (79.1%)
1-5.3.png → 1-5.3.webp | Saved 822087 bytes (78.6%)
1-5.4.png → 1-5.4.webp | Saved 1063170 bytes (79.0%)
fusion.png → fusion.webp | Saved 4470 bytes (73.7%)
python-example.png → python-example.webp | Saved 93187 bytes (79.4%)
python.png → python.webp | Saved 26716 bytes (84.2%)
vs-code-after.png → vs-code-after.webp | Saved 1620 bytes (66.9%)
vs-code-before.png → vs-code-before.webp | Saved 70687 bytes (79.7%)
vs-code.png → vs-code.webp | Saved 30533 bytes (82.0%)
carousel\1.png → 1.webp | Saved 204233 bytes (89.8%)
carousel\2.png → 2.webp | Saved 321860 bytes (91.1%)
carousel\3.png → 3.webp | Saved 150748 bytes (81.2%)
carousel\4.png → 4.webp | Saved 200054 bytes (87.7%)
carousel\5.png → 5.webp | Saved 301333 bytes (87.1%)
carousel\6.png → 6.webp | Saved 172005 bytes (82.6%)
carousel\7.png → 7.webp | Saved 687461 bytes (83.6%)
carousel\8.png → 8.webp | Saved 180673 bytes (77.6%)
carousel\9.png → 9.webp | Saved 144353 bytes (77.7%)
