1.png → 1.webp | Saved 989440 bytes (88.3%)
2.5.png → 2.5.webp | Saved 988458 bytes (88.3%)
2.png → 2.webp | Saved 991325 bytes (88.4%)
3.png → 3.webp | Saved 986563 bytes (88.3%)
4.png → 4.webp | Saved 982396 bytes (88.3%)
5.png → 5.webp | Saved 976151 bytes (88.3%)
6.png → 6.webp | Saved 977280 bytes (88.3%)
7.png → 7.webp | Saved 973675 bytes (88.2%)
8.png → 8.webp | Saved 969595 bytes (88.2%)
after-bully.png → after-bully.webp | Saved 973061 bytes (88.2%)
bully-on-page.png → bully-on-page.webp | Saved 980406 bytes (88.2%)
enemy-empty.png → enemy-empty.webp | Saved 989440 bytes (88.3%)
enemy.png → enemy.webp | Saved 989440 bytes (88.3%)
me-on-four.png → me-on-four.webp | Saved 977434 bytes (88.3%)
mushroom.png → mushroom.webp | Saved 976678 bytes (88.3%)
over-four.png → over-four.webp | Saved 978068 bytes (88.2%)
overlay-four.png → overlay-four.webp | Saved 978068 bytes (88.2%)
overlay-me.png → overlay-me.webp | Saved 975794 bytes (88.2%)
